customer_state,year_week,month,revenue,order_count,population,gdp_per_capita,week_of_year,month_sin,month_cos,week_sin,week_cos,revenue_growth_1w,revenue_growth_4w,revenue_lag_1,revenue_lag_2,revenue_lag_4,revenue_lag_8,revenue_rolling_4,revenue_rolling_8,revenue_rolling_12,target_next_revenue
ES,2017-05-15/2017-05-21,5,19,19,1000000,50000,20,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,-0.050000000000000044,0.3571428571428572,20.0,19.0,14.0,9.0,15.25,12.375,11.0,22.0
ES,2017-05-22/2017-05-28,5,22,22,1000000,50000,21,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,0.1578947368421053,1.75,19.0,20.0,8.0,6.0,16.5,13.625,12.5,10.0
ES,2017-05-29/2017-06-04,5,10,10,1000000,50000,22,0.49999999999999994,-0.8660254037844387,0.46472317204376906,-0.8854560256532096,-0.5454545454545454,-0.4736842105263158,22.0,19.0,19.0,17.0,20.0,15.625,13.583333333333334,14.0
ES,2017-05-29/2017-06-04,6,14,14,1000000,50000,22,1.2246467991473532e-16,-1.0,0.46472317204376906,-0.8854560256532096,0.3999999999999999,-0.30000000000000004,10.0,22.0,20.0,6.0,17.75,14.75,13.666666666666666,21.0
ES,2017-06-05/2017-06-11,6,21,21,1000000,50000,23,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147,0.5,0.10526315789473695,14.0,10.0,19.0,14.0,16.25,15.75,13.666666666666666,19.0
ES,2017-06-12/2017-06-18,6,19,19,1000000,50000,24,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052,-0.09523809523809523,-0.13636363636363635,21.0,14.0,22.0,8.0,16.75,16.625,14.666666666666666,18.0
ES,2017-06-19/2017-06-25,6,18,18,1000000,50000,25,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054,-0.052631578947368474,0.8,19.0,21.0,10.0,19.0,16.0,18.0,15.75,7.0
ES,2017-06-26/2017-07-02,6,7,7,1000000,50000,26,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0,-0.6111111111111112,-0.5,18.0,19.0,14.0,20.0,18.0,17.875,15.833333333333334,6.0
ES,2017-06-26/2017-07-02,7,6,6,1000000,50000,26,-0.4999999999999997,-0.8660254037844388,-3.216245299353273e-16,-1.0,-0.1428571428571429,-0.7142857142857143,7.0,18.0,21.0,19.0,16.25,16.25,15.916666666666666,10.0
ES,2017-07-03/2017-07-09,7,10,10,1000000,50000,27,-0.4999999999999997,-0.8660254037844388,-0.12053668025532283,-0.992708874098054,0.6666666666666667,-0.4736842105263158,6.0,7.0,19.0,22.0,12.5,14.625,15.25,19.0
ES,2017-07-10/2017-07-16,7,19,19,1000000,50000,28,-0.4999999999999997,-0.8660254037844388,-0.23931566428755743,-0.9709418174260521,0.8999999999999999,0.05555555555555558,10.0,6.0,18.0,10.0,10.25,13.125,15.416666666666666,15.0
ES,2017-07-17/2017-07-23,7,15,15,1000000,50000,29,-0.4999999999999997,-0.8660254037844388,-0.3546048870425356,-0.9350162426854148,-0.21052631578947367,1.1428571428571428,19.0,10.0,7.0,14.0,10.5,14.25,15.416666666666666,26.0
ES,2017-07-24/2017-07-30,7,26,26,1000000,50000,30,-0.4999999999999997,-0.8660254037844388,-0.46472317204376806,-0.8854560256532101,0.7333333333333334,3.333333333333333,15.0,19.0,6.0,21.0,12.5,14.375,15.0,5.0
ES,2017-07-31/2017-08-06,7,5,5,1000000,50000,31,-0.4999999999999997,-0.8660254037844388,-0.5680647467311556,-0.8229838658936565,-0.8076923076923077,-0.5,26.0,15.0,10.0,19.0,17.5,15.0,15.583333333333334,16.0
ES,2017-07-31/2017-08-06,8,16,16,1000000,50000,31,-0.8660254037844384,-0.5000000000000004,-0.5680647467311556,-0.8229838658936565,2.2,-0.1578947368421053,5.0,26.0,19.0,18.0,16.25,13.25,14.166666666666666,25.0
ES,2017-08-07/2017-08-13,8,25,25,1000000,50000,32,-0.8660254037844384,-0.5000000000000004,-0.663122658240795,-0.7485107481711013,0.5625,0.6666666666666667,16.0,5.0,15.0,7.0,15.5,13.0,14.666666666666666,21.0
ES,2017-08-14/2017-08-20,8,21,21,1000000,50000,33,-0.8660254037844384,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,-0.16000000000000003,-0.1923076923076923,25.0,16.0,26.0,6.0,18.0,15.25,15.583333333333334,21.0
ES,2017-08-21/2017-08-27,8,21,21,1000000,50000,34,-0.8660254037844384,-0.5000000000000004,-0.8229838658936564,-0.5680647467311559,0.0,3.2,21.0,25.0,5.0,10.0,16.75,17.125,15.583333333333334,11.0
ES,2017-08-28/2017-09-03,8,11,11,1000000,50000,35,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,-0.47619047619047616,-0.3125,21.0,21.0,16.0,19.0,20.75,18.5,15.75,7.0
ES,2017-08-28/2017-09-03,9,7,7,1000000,50000,35,-1.0,-1.8369701987210297e-16,-0.8854560256532096,-0.4647231720437691,-0.36363636363636365,-0.72,11.0,21.0,25.0,15.0,19.5,17.5,15.166666666666666,20.0
ES,2017-09-04/2017-09-10,9,20,20,1000000,50000,36,-1.0,-1.8369701987210297e-16,-0.9350162426854147,-0.3546048870425359,1.8571428571428572,-0.04761904761904767,7.0,11.0,21.0,26.0,15.0,16.5,15.166666666666666,18.0
ES,2017-09-11/2017-09-17,9,18,18,1000000,50000,37,-1.0,-1.8369701987210297e-16,-0.970941817426052,-0.23931566428755774,-0.09999999999999998,-0.1428571428571429,20.0,7.0,21.0,5.0,14.75,15.75,16.333333333333332,18.0
ES,2017-09-18/2017-09-24,9,18,18,1000000,50000,38,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357,0.0,0.6363636363636365,18.0,20.0,11.0,16.0,14.0,17.375,17.0,30.0
ES,2017-09-25/2017-10-01,9,30,30,1000000,50000,39,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0.6666666666666667,3.2857142857142856,18.0,18.0,7.0,25.0,15.75,17.625,16.916666666666668,3.0
ES,2017-09-25/2017-10-01,10,3,3,1000000,50000,39,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,-0.9,-0.85,30.0,18.0,20.0,21.0,21.5,18.25,18.166666666666668,21.0
ES,2017-10-02/2017-10-08,10,21,21,1000000,50000,40,-0.8660254037844386,0.5000000000000001,-0.992708874098054,0.1205366802553232,6.0,0.16666666666666674,3.0,30.0,18.0,21.0,17.25,16.0,16.25,27.0
ES,2017-10-09/2017-10-15,10,27,27,1000000,50000,41,-0.8660254037844386,0.5000000000000001,-0.9709418174260521,0.23931566428755738,0.2857142857142858,0.5,21.0,3.0,18.0,11.0,18.0,16.0,17.583333333333332,29.0
ES,2017-10-16/2017-10-22,10,29,29,1000000,50000,42,-0.8660254037844386,0.5000000000000001,-0.9350162426854148,0.35460488704253557,0.07407407407407418,-0.033333333333333326,27.0,21.0,30.0,7.0,20.25,18.0,18.5,14.0
ES,2017-10-23/2017-10-29,10,14,14,1000000,50000,43,-0.8660254037844386,0.5000000000000001,-0.8854560256532101,0.464723172043768,-0.5172413793103448,3.666666666666667,29.0,27.0,3.0,20.0,20.0,20.75,18.833333333333332,6.0
ES,2017-10-30/2017-11-05,10,6,6,1000000,50000,44,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,-0.5714285714285714,-0.7142857142857143,14.0,29.0,21.0,18.0,22.75,20.0,18.25,10.0
ES,2017-10-30/2017-11-05,11,10,10,1000000,50000,44,-0.5000000000000004,0.8660254037844384,-0.822983865893657,0.5680647467311548,0.6666666666666667,-0.6296296296296297,6.0,14.0,27.0,18.0,19.0,18.5,17.0,28.0
ES,2017-11-06/2017-11-12,11,28,28,1000000,50000,45,-0.5000000000000004,0.8660254037844384,-0.7485107481711011,0.6631226582407952,1.7999999999999998,-0.03448275862068961,10.0,6.0,29.0,30.0,14.75,17.5,16.916666666666668,25.0
ES,2017-11-13/2017-11-19,11,25,25,1000000,50000,46,-0.5000000000000004,0.8660254037844384,-0.6631226582407955,0.7485107481711007,-0.1071428571428571,0.7857142857142858,28.0,10.0,14.0,3.0,14.5,17.25,18.666666666666668,75.0
ES,2017-11-20/2017-11-26,11,75,75,1000000,50000,47,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564,2.0,11.5,25.0,28.0,6.0,21.0,17.25,20.0,19.083333333333332,30.0
ES,2017-11-27/2017-12-03,11,30,30,1000000,50000,48,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,-0.6,2.0,75.0,25.0,10.0,27.0,34.5,26.75,23.833333333333332,15.0
ES,2017-11-27/2017-12-03,12,15,15,1000000,50000,48,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,-0.5,-0.4642857142857143,30.0,75.0,28.0,29.0,39.5,27.125,24.833333333333332,32.0
ES,2017-12-04/2017-12-10,12,32,32,1000000,50000,49,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,1.1333333333333333,0.28,15.0,30.0,25.0,14.0,36.25,25.375,23.583333333333332,33.0
ES,2017-12-11/2017-12-17,12,33,33,1000000,50000,50,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,0.03125,-0.56,32.0,15.0,75.0,6.0,38.0,27.625,26.0,15.0
ES,2017-12-18/2017-12-24,12,15,15,1000000,50000,51,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,-0.5454545454545454,-0.5,33.0,32.0,30.0,10.0,27.5,31.0,27.0,13.0
ES,2017-12-25/2017-12-31,12,13,13,1000000,50000,52,-2.4492935982947064e-16,1.0,6.432490598706546e-16,1.0,-0.1333333333333333,-0.1333333333333333,15.0,33.0,15.0,28.0,23.75,31.625,26.0,32.0
ES,2018-01-01/2018-01-07,1,32,32,1000000,50000,1,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,1.4615384615384617,0.0,13.0,15.0,32.0,25.0,23.25,29.75,24.666666666666668,35.0
ES,2018-01-08/2018-01-14,1,35,35,1000000,50000,2,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0.09375,0.06060606060606055,32.0,13.0,33.0,75.0,23.25,30.625,26.166666666666668,34.0
ES,2018-01-15/2018-01-21,1,34,34,1000000,50000,3,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,-0.02857142857142858,1.2666666666666666,35.0,32.0,15.0,30.0,23.75,25.625,28.583333333333332,24.0
ES,2018-01-22/2018-01-28,1,24,24,1000000,50000,4,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,-0.2941176470588235,0.8461538461538463,34.0,35.0,13.0,15.0,28.5,26.125,30.583333333333332,20.0
ES,2018-01-29/2018-02-04,1,20,20,1000000,50000,5,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564,-0.16666666666666663,-0.375,24.0,34.0,32.0,32.0,31.25,27.25,30.25,15.0
ES,2018-01-29/2018-02-04,2,15,15,1000000,50000,5,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,-0.25,-0.5714285714285714,20.0,24.0,35.0,33.0,28.25,25.75,29.833333333333332,38.0
ES,2018-02-05/2018-02-11,2,38,38,1000000,50000,6,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1.5333333333333332,0.11764705882352944,15.0,20.0,34.0,15.0,23.25,23.5,24.833333333333332,28.0
ES,2018-02-12/2018-02-18,2,28,28,1000000,50000,7,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,-0.26315789473684215,0.16666666666666674,38.0,15.0,24.0,13.0,24.25,26.375,25.5,44.0
ES,2018-02-19/2018-02-25,2,44,44,1000000,50000,8,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,0.5714285714285714,1.2000000000000002,28.0,38.0,20.0,32.0,25.25,28.25,26.583333333333332,24.0
ES,2018-02-26/2018-03-04,2,24,24,1000000,50000,9,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,-0.4545454545454546,0.6000000000000001,44.0,28.0,15.0,35.0,31.25,29.75,27.583333333333332,15.0
ES,2018-02-26/2018-03-04,3,15,15,1000000,50000,9,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,-0.375,-0.6052631578947368,24.0,44.0,38.0,34.0,33.5,28.375,26.833333333333332,29.0
ES,2018-03-05/2018-03-11,3,29,29,1000000,50000,10,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,0.9333333333333333,0.03571428571428581,15.0,24.0,28.0,24.0,27.75,26.0,26.833333333333332,21.0
